Art ID,Artist,Title,Gallery Price,Year
"G24330","WARHOL_ ANDY","FLOWERS INVITATION","8500.0000","1964"
"G24332","WARHOL_ ANDY","CONSPIRACY MEANS TO BREATHE TOGETHER","6950.0000","1969"
"G24384","WARHOL_ ANDY"," POLAROID SELF PORTRAIT","99500.0000","0"
"G24439","WARHOL_ ANDY","LADIES & GENTLEMEN (PORTFOLIO OF 10) INVITATION","19500.0000","1975"
"G24616","WARHOL_ ANDY","MICK JAGGER (INVITATION)","3800.0000","0"
"G24617","WARHOL_ ANDY","MICK JAGGER (INVITATION)","3800.0000","0"
"G24714","WARHOL_ ANDY","MICK JAGGER (INVITATION)","3800.0000","0"
"G24715","WARHOL_ ANDY","MICK JAGGER (INVITATION)","3800.0000","0"
"G24716","WARHOL_ ANDY","MICK JAGGER (INVITATION)","3800.0000","0"
"G24748","WARHOL_ ANDY","GOLDIE HAWN INTERVIEW MAGAZINE SIGNED COVER","4800.0000","0"
"G24786","WARHOL_ ANDY","TEN PORTRAITS OF JEWS OF THE TWENTIETH CENTURY INVITATION","22500.0000","1980"
"G25120","WARHOL_ ANDY","TRUCKS INVITATION","3300.0000","0"
"G25121","WARHOL_ ANDY","TRUCKS INVITATION","3300.0000","0"
"G25171","WARHOL_ ANDY","GOLDEN MARILYN II.41 SUNDAY B. MORNING","975.0000","0"
"G25172","WARHOL_ ANDY","GOLDEN MARILYN II.39 SUNDAY B. MORNING","975.0000","0"
"G25435","WARHOL_ ANDY","MICK JAGGER (INVITATION)","3800.0000","0"
"G25836","WARHOL_ ANDY","MICK JAGGER FS II.142","225000.0000","1975"
"G25838","WARHOL_ ANDY","JACQUELINE KENNEDY I FS II.13","40000.0000","1966"
"G26368","WARHOL_ ANDY","DIAMOND DUST MARILYN SUNDAY B. MORNING","1500.0000","2012"
"G26369","WARHOL_ ANDY","DOLLAR SIGN (YELLOW) SUNDAY B. MORNING","500.0000","2013"
"G26370","WARHOL_ ANDY","DOLLAR SIGN (BLUE) SUNDAY B. MORNING","500.0000","2013"
"G26371","WARHOL_ ANDY","DOLLAR SIGN (RED) SUNDAY B. MORNING","500.0000","2013"
"G26372","WARHOL_ ANDY","DOLLAR SIGN (GREEN) SUNDAY B. MORNING","500.0000","2013"
"G26649","WARHOL_ ANDY","ONION SOUP","1600000.0000","1986"
"G27313","WARHOL_ ANDY","ROLLING STONES INTERVIEW MAGAZINE SIGNED COVER","4800.0000","1977"
"G27616","WARHOL_ ANDY","$ (QUADRANT) FS II.284","425000.0000","1982"
"G27694","WARHOL_ ANDY","UNTITLED (TORSO)","120000.0000","0"
"G28173","WARHOL_ ANDY","$ (1) FS II.274-279","2500000.0000","1982"
"G28437","WARHOL_ ANDY","MICK JAGGER EXHIBITION POSTER","6500.0000","1975"
"G28574","WARHOL_ ANDY","ADS: REBEL WITHOUT A CAUSE (JAMES DEAN) FS II.355","285000.0000","1985"
"G29005","WARHOL_ ANDY","SUPERMAN INVITATION","5000.0000","1981"
"G29006","WARHOL_ ANDY","MICKEY MOUSE INVITATION","5000.0000","1981"
"G29915","WARHOL_ ANDY","FLASH - NOVEMBER 22_ 1963 FS II. 37","25000.0000","1968"
"G30337","WARHOL_ ANDY","PALOMA PICASSO FS II.121","40000.0000","1975"
"G30949","WARHOL_ ANDY","SAINT APOLLONIA FS II.330","49500.0000","1984"
"G31146","WARHOL_ ANDY","PLAYBOY BUNNY","1600000.0000","1985"
"G31147","WARHOL_ ANDY","MORRIS INTERNATIONAL (LIZ TAYLOR)","21000.0000","1965"
"G31148","WARHOL_ ANDY","CHOCOLATE BUNNY FS IIIA.49","135000.0000","CIRCA 1983"
"G31156","WARHOL_ ANDY","SHOES FS II.253","375000.0000","1980"
"G31161","WARHOL_ ANDY","JASON MCCOY","2600000.0000","1974"
"G31272","WARHOL_ ANDY","STUDIO 54 COMPLIMENTARY DRINKS FS IIIA.16A","150000.0000","1978"
"G31373","WARHOL_ ANDY","SUNSET","250000.0000","1972"
"G31571","WARHOL_ ANDY","JEAN COCTEAU FS II.329A","21500.0000","1985"
"G31827","WARHOL_ ANDY","ELECTRIC CHAIR FS II.79","49500.0000","1971"
"G31921","WARHOL_ ANDY","GREVY'S ZEBRA FS II.300","375000.0000","1983"
"G31943","WARHOL_ ANDY","EDWARD KENNEDY FS II.240","25000.0000","1980"
"G31944","WARHOL_ ANDY","SAINT APOLLONIA","45000.0000","1984"
"G31955","WARHOL_ ANDY","MARILYN II.27 SUNDAY B. MORNING ","500.0000","0"
"G31998","WARHOL_ ANDY","ENDANGERED SPECIES FS II.293-302","3600000.0000","0"
"G32033","WARHOL_ ANDY","PORTRAIT OF THE ARTISTS FS II.17","55000.0000","1967"
"G32089","WARHOL_ ANDY","SAINT APOLLONIA FS II.333","49500.0000","1984"
"G32205","WARHOL_ ANDY","WRAPPING PAPER","9500.0000","1957"
"G32291","WARHOL_ ANDY","COOKING POT FS II.1","60000.0000","1962"
"G32292","WARHOL_ ANDY","BE A SOMEBODY WITH A BODY","0.0000","1985"
"G32371","WARHOL_ ANDY","IN THE BOTTOM OF MY GARDEN","99500.0000","1956"
"G32502","WARHOL_ ANDY","GERARD DEPARDIEU FS IIIB.48","0.0000","1986"
"G32503","WARHOL_ ANDY","MARILYN MONROE I LOVE YOUR KISS FOREVER FOREVER FS II.5","0.0000","1964"
